Symbol,Company,Price,P/E Ratio,EPS,Market Cap,Sector
RELIANCE.NS,RELIANCE INDUSTRIES LTD,1512.6,29.35947,51.52,20469258387456,Energy
INFY.NS,INFOSYS LIMITED,1606.6,24.610907,65.28,6658746482688,Technology
HDFCBANK.NS,HDFC BANK LTD,2002.0,21.647923,92.48,15351135862784,Financial Services
TATAMOTORS.NS,TATA MOTORS LIMITED,690.5,10.626346,64.98,2542048116736,Consumer Cyclical
ICICIBANK.NS,ICICI BANK LTD.,1454.3,20.422695,71.21,10377216655360,Financial Services
SBIN.NS,STATE BANK OF INDIA,819.15,9.4263525,86.9,7310602665984,Financial Services
AXISBANK.NS,AXIS BANK LIMITED,1216.5,13.491183,90.17,3772901752832,Financial Services
TCS.NS,TATA CONSULTANCY SERV LT,3456.0,25.75261,134.2,12504118853632,Technology
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,2301.8,50.902256,45.22,5408286572544,Consumer Defensive
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,942.5,35.16791,26.8,5854753456128,Financial Services
